UNITID,F1A01,F1A31,F1A04,F1A05,F1A06,F1A19,F1A07,F1A08,F1A09,F1A10,F1A11,F1A12,F1A13,F1A20,F1A14,F1A15,F1A16,F1A17,F1A18,F1A214,F1A224,F1A234,F1A324,F1A274,F1A27T4,F1A284,F1A334,F1A344,F1D01,F1D02,F1D03,F1D04,F1D05,F1D06,F1B01,F1B02,F1B03,F1B04,F1B04A,F1B04B,F1B05,F1B06,F1B26,F1B07,F1B08,F1B09,F1B10,F1B11,F1B12,F1B13,F1B14,F1B15,F1B16,F1B17,F1B18,F1B19,F1B27,F1B20,F1B21,F1B22,F1B23,F1B24,F1B25,F1C011,F1C012,F1C021,F1C022,F1C031,F1C032,F1C051,F1C052,F1C061,F1C062,F1C071,F1C072,F1C101,F1C111,F1C112,F1C121,F1C122,F1C131,F1C132,F1C141,F1C191,F1C192,F1C193,F1C19OM,F1C19DP,F1C19IN,F1C19OT,F1M01,F1M02,F1M03,F1M04,F1E01,F1E02,F1E03,F1E04,F1E05,F1E06,F1E07,F1E08,F1E09,F1E10,F1E11,F1H01,F1H02   
100654,96249887,141236880,14808858,156045738,252295625,8154567,3436024,73480344,76916368,83758678,116823221,200581899,277498267,14415084,57240171,779557,0,-89482887,-31463159,5598192,0,231375495,37175136,6020816,280169639,129081553,0,4957652,159767114,148802597,10964517,18113594,-60541270,-31463159,41890801,22083622,987773,530934,0,530934,21461701,0,2685755,0,211641,89852227,5032605,41017090,0,18619132,90460,0,2214839,149939,2790822,69914887,159767114,0,0,0,0,0,159767114,30423688,22014538,12219233,5714884,12078711,6745188,6282268,3244006,16744455,8225240,17505256,9011363,20099094,11232916,1319722,0,0,0,0,22216976,148802597,56274941,19061771,15226287,6990689,1954036,49294873,,,,,18125301,493831,90460,0,0,23325276,42034868,21935774,0,21935774,20099094,,
100663,1580145078,1644215290,1462611092,3106826382,4686971460,297526667,34951086,415124930,450076016,902290484,1850958961,2753249445,3203325461,218264713,741423381,386638833,341884711,92961028,1562907953,149431372,98270776,2527815972,971797702,74451941,3821767763,2177552473,0,0,3223102073,3028818180,194283893,1906997505,-538373445,1562907953,253707923,370528637,8057617,83047140,2999958,80047182,44253545,1864755549,68464868,0,59105490,2751920769,0,273351124,0,34611639,101404,0,34009483,89775747,2808029,434657426,3186578195,0,2285326,18401517,15837035,36523878,3223102073,316803862,190535941,309591511,131441976,195478325,84634647,185829462,115396646,47901478,21075528,150354709,59446899,27779628,86556442,17918544,1708522763,591856615,0,0,0,3028818180,1212306796,393829108,84174528,145454119,28964461,1164089168,86199000,1161162000,147061000,160535000,23866832,14239833,207050,34765,10412976,31490450,80251906,49334451,3137827,52472278,27779628,495337612,524675419
100706,120009299,280308024,82524287,362832311,482841610,32894090,4722149,66841952,71564101,123145440,201778332,324923772,396487873,26728420,168455369,18303547,9990561,-104230070,92519407,35744219,0,408692338,102461523,11027300,557925380,265680873,3238818,0,235286348,239618811,-4332463,143013745,-46161875,92519407,67638989,77317933,3919899,1740491,0,1740491,11353348,0,5465339,0,0,167435999,0,48352459,0,9021580,0,0,3067873,4849274,0,65291186,232727185,0,2161614,0,397549,2559163,235286348,72045250,41304006,80472117,44828892,7246930,2534255,13728505,6783581,21184067,7517299,24514632,11298284,3332226,13906502,1446329,0,0,0,0,3188582,239618811,115712646,42924928,13532266,17143814,4223715,46081442,12135939,147428000,20851000,22885770,8706058,137884,55537,0,5378856,30669988,44948323,39161060,2455037,41616097,3332226,75974640,79465021
100724,64347896,275025359,1620617,276645976,340993872,22414992,11124124,33969368,45093492,215898178,101005444,316903622,361997114,20122020,63558659,14457126,250000,-96976055,-18710270,21200142,86942823,280014896,27226154,182915,415566930,144552645,0,11744019,144415417,148376524,-3961107,24932444,-39681607,-18710270,46514508,14359533,5541600,3445822,0,3445822,8056667,0,0,0,9575915,87494045,0,43254819,0,12416213,0,0,290071,960269,0,56921372,144415417,0,0,0,0,0,144415417,39035839,23076987,3748897,1318984,6903659,773443,12156797,5155185,17633405,8023724,39943269,10304787,15921853,13032805,2131534,0,0,0,0,0,148376524,50784644,14476986,13282934,10847397,13098732,45885831,3652020,66081091,15287000,10049718,12416213,293573,0,0,3212066,11137353,27059205,7406165,3731187,11137352,15921853,100905446,99638681
100733,2690547,12201689,13273421,25475110,28165657,5260125,0,3021585,3021585,0,22104453,22104453,25126038,3321715,12201689,0,0,-7223660,4978029,106750,76802,14846134,1097003,0,16126689,3844257,0,0,20903786,20037210,866576,9274031,-5162578,4978029,0,0,0,0,0,0,0,,0,,20480700,20480700,0,0,0,0,0,0,0,420190,2896,423086,20903786,0,0,0,0,0,20903786,0,0,0,0,0,0,0,0,0,0,20037210,10024933,0,0,0,,,,,0,20037210,10024933,6539523,0,381703,0,3091051,1554463,15575000,3321715,5260125,,,,,,,,,,,,,
100751,553887777,1824109472,2021890344,3845999816,4399887593,175548131,32681257,501594082,534275339,1005691287,844763605,1850454892,2384730231,89599673,1151792864,432404952,458967808,57940196,2101105820,164246591,123925482,2088737274,348752140,110448650,2836110137,799362127,63307565,0,1294940485,1106158897,188781588,2135101272,-222777040,2101105820,516765773,41759198,31215296,6581126,991806,5589320,200256134,0,12644047,0,63073638,872295212,0,156742802,0,35987034,0,0,48858002,90064841,424348,332077027,1204372239,0,65669021,24899225,0,90568246,1294940485,392019914,195830781,77055748,23730372,53737544,27163856,119725681,47448215,71865785,29258167,135891439,49583364,23685641,229009230,63253467,0,0,0,0,3167915,1106158897,436268222,192790631,94309507,75485224,41124252,266181061,62225221,565233000,58630000,114569757,27971357,3675647,575827,0,16400852,250999797,299623480,269470952,6466887,275937839,23685641,785374066,845934399
100760,7248685,21774057,0,21774057,29022742,2184742,592460,3333958,3926418,6956003,19468034,26424037,30350455,2993493,14432820,891430,0,-17460714,-2136464,1699274,2366988,32576656,8515843,496150,45654911,23880854,0,0,19455606,18662379,793227,5421753,-8351444,-2136464,2279815,1995551,2198733,125511,125511,0,0,,0,,358726,6958336,0,8423240,0,3570183,0,0,495272,8575,0,12497270,19455606,0,0,0,0,0,19455606,8753392,4614155,0,0,245892,95849,1316545,562910,3433746,1631036,3293041,1404096,1594286,0,0,,,,,25477,18662379,8308046,2591764,1623449,1099717,290626,4748777,912378,11748000,1757000,1821378,3452819,62668,574738,0,0,1118792,5209017,3614731,0,3614731,1594286,425822,429214
100812,19493389,41559164,8100419,49659583,69152972,5524181,1450158,7793276,9243434,12240911,40406388,52647299,61890733,5002898,27868095,698721,0,-20783294,7783522,2593856,2254419,49633827,3490638,514720,58487460,16928296,0,0,37833914,35341976,2491938,20539793,-15248209,7783522,15584286,319269,2436509,0,0,0,381527,0,0,0,0,18721591,0,12867151,0,5699719,0,0,0,369192,176261,19112323,37833914,0,0,0,0,0,37833914,18259874,11660283,0,0,0,0,3494788,1846312,3192258,1938540,6653545,2780080,3037734,534652,224462,0,0,0,0,169125,35341976,18449677,5573507,1813349,1151957,435874,7917612,2197909,25426000,3020000,4640740,5699719,121986,66469,0,0,890414,6778588,3740854,0,3740854,3037734,3673861,3855735
100830,18345395,103672327,54543710,158216037,176561432,16304832,221123,27404316,27625439,0,169556907,169556907,197182346,7982050,14256160,29057693,5234851,-60846836,-12298132,15199323,6643788,132570820,32508139,63049,186985119,83312792,0,0,93761631,89212931,4548700,7241525,-24088357,-12298132,35894562,1182518,5772892,458796,39035,419761,9012498,0,2137274,0,1734745,56193285,0,23318449,0,10252505,0,0,1214403,2764719,0,37550076,93743361,0,6590,11680,0,18270,93761631,29772521,20848391,468572,277702,7611098,2897650,4241868,2895474,6892458,3949660,12375841,5557629,3312686,7702445,1158492,0,0,0,0,16835442,89212931,38946199,14319340,5907663,5006694,4062476,20970559,1089211,56760504,5125130,11043168,10252505,145565,53178,0,883763,6723378,18058389,12866239,1879464,14745703,3312686,50109520,51897574
100858,577450217,1515510050,1303681505,2819191555,3396641772,225007912,37315647,379387462,416703109,894863563,1013554123,1908417686,2325120795,91565684,1116706101,205368428,24170449,-141281773,1204963205,155914095,245769417,1764324925,431408618,139037874,2736454929,1034085916,0,3821894,1176700366,1102264664,74435702,1409530622,-279003119,1204963205,456313408,89511875,10813792,18118070,2523982,15594088,174992328,0,46303571,0,23892716,819945760,0,233252297,0,17424738,0,0,47093103,32411306,0,330181444,1150127204,0,26097996,475166,0,26573162,1176700366,317188304,168280076,192211547,83219286,114553794,45757747,107381619,53796718,43505560,19646466,97007910,55643164,20221828,210194101,57507505,0,0,0,0,1,1102264664,483850962,195499501,99225737,74586207,25150257,223952000,9981326,608716768,58512619,118279491,17424738,775500,0,0,52658815,73197157,144056210,116589276,7245106,123834382,20221828,728995077,771403829
